pre_root_id,post_root_id,neuropil,syn_count,nt_type
720575940622151704,720575940632192676,SMP_R,12.0,ACH
720575940628876741,720575940640547928,SMP_R,2.0,DA
720575940629378903,720575940626465096,SMP_R,9.0,ACH
720575940605781449,720575940621425532,SMP_R,9.0,ACH
720575940622151704,720575940623320649,SMP_R,1.0,ACH
720575940637878854,720575940644528163,SMP_R,18.0,ACH
720575940634274458,720575940643921444,SMP_R,5.0,GLUT
720575940622151704,720575940625673708,SMP_R,7.0,ACH
720575940615763573,720575940620812353,SMP_R,5.0,GLUT
720575940618410177,720575940631992391,SMP_R,14.0,ACH
720575940628360506,720575940616998946,SMP_R,1.0,GLUT
720575940612011377,720575940638526278,SMP_R,51.0,GLUT
720575940621662332,720575940625813447,SMP_R,45.0,GLUT
720575940624695566,720575940615066310,SMP_R,6.0,ACH
720575940626685962,720575940623217577,SMP_R,17.0,ACH
720575940629090754,720575940612630434,SMP_R,59.0,ACH
720575940617650722,720575940622997453,SMP_R,4.0,ACH
720575940619517131,720575940625922855,SMP_R,10.0,GLUT
720575940627871996,720575940622971283,SMP_R,5.0,GABA
720575940635703191,720575940614215405,SMP_R,6.0,ACH
720575940626315010,720575940627109202,SMP_R,29.0,ACH
720575940622102561,720575940611738035,SMP_R,6.0,ACH
720575940635816304,720575940606373321,SMP_R,5.0,ACH
720575940630608467,720575940608339209,SMP_R,25.0,GLUT
720575940635590136,720575940615871967,SMP_R,11.0,ACH
720575940620913392,720575940628136689,SMP_R,6.0,ACH
720575940623201833,720575940633117580,SMP_R,3.0,GABA
720575940628923368,720575940630577403,SMP_R,2.0,ACH
720575940644652567,720575940614957162,SMP_R,5.0,GLUT
720575940640204752,720575940631853615,SMP_R,9.0,ACH
720575940629392439,720575940620324079,SMP_R,7.0,GLUT
720575940637229289,720575940648869241,SMP_R,8.0,ACH
720575940631103744,720575940617306717,SMP_R,7.0,ACH
720575940629836793,720575940628717585,SMP_R,5.0,ACH
720575940620324079,720575940612734066,SMP_R,27.0,GLUT
720575940623905719,720575940624767332,SMP_R,4.0,ACH
720575940618978645,720575940628118159,SMP_R,20.0,ACH
720575940626315010,720575940609908270,SMP_R,16.0,ACH
720575940623139341,720575940638168639,SMP_R,59.0,GLUT
720575940627586560,720575940651601910,SMP_R,5.0,GLUT
720575940633007073,720575940625527396,SMP_R,6.0,SER
720575940627309322,720575940617796642,SMP_R,26.0,ACH
720575940626315010,720575940640372021,SMP_R,23.0,ACH
